name,和名,リンク長（m）,リンク数（本）
motorway,自動車専用道路,3740673,6058
trunk,国道,7731196,11678
primary,主要地方道,9751556,14790
secondary,一般地方道,9227038,13568
tertiary,一般道（２車線以上）,26320681,72377
unclassified,一般道（２車線未満）,85190924,477521
residential,居住区域内道路,84514743,546914
service,敷地内道路,12564765,103062
motorway_link,自動車専用道路の接続路,1057853,4739
trunk_link,国道の接続路,289134,1501
primary_link,主要地方道の接続路,128359,876
secondary_link,一般地方道の接続路,39301,338
tertiary_link,一般道の接続路,84323,538
living_street,生活道路,998441,13661
pedestrian,歩行者天国,971735,7316
track,未舗装道路,14089507,55439
footway,遊歩道,7026359,69112
bridleway,馬用の小道,5161,42
steps,歩道の階段,398446,18772
path,小道,18664974,62685
cycleway,自転車道,1968298,3904
track_grade1,未舗装道路1,1342497,4024
track_grade2,未舗装道路2,190664,880
track_grade4,未舗装道路3,68278,315
track_grade3,未舗装道路4,237207,931
track_grade5,未舗装道路5,33820,175
unknown,,132315,657
