mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390001	799.53396402659	-254	-46.70	MULTIPOLYGON(((139.0125 36.0000000024,139.0125 36.0083333357336,139.025 36.0083333357336,139.025 36.0000000024,139.0125 36.0000000024)))
54390002	4847.46776763978	-1007	-26.23	MULTIPOLYGON(((139.025 36.0000000024,139.025 36.0083333357336,139.0375 36.0083333357336,139.0375 36.0000000024,139.025 36.0000000024)))
54390003	4146.43535424368	-924	-28.69	MULTIPOLYGON(((139.0375 36.0000000024,139.0375 36.0083333357336,139.05 36.0083333357336,139.05 36.0000000024,139.0375 36.0000000024)))
54390004	3206.53203956335	-955	-42.44	MULTIPOLYGON(((139.05 36.0000000024,139.05 36.0083333357336,139.0625 36.0083333357336,139.0625 36.0000000024,139.05 36.0000000024)))
54390005	8659.94899225857	-2985	-52.62	MULTIPOLYGON(((139.0625 36.0000000024,139.0625 36.0083333357336,139.075 36.0083333357336,139.075 36.0000000024,139.0625 36.0000000024)))
54390006	16050.6495611486	-4255	-36.08	MULTIPOLYGON(((139.075 36.0000000024,139.075 36.0083333357336,139.0875 36.0083333357336,139.0875 36.0000000024,139.075 36.0000000024)))
54390007	12415.9462440143	-3379	-37.40	MULTIPOLYGON(((139.0875 36.0000000024,139.0875 36.0083333357336,139.1 36.0083333357336,139.1 36.0000000024,139.0875 36.0000000024)))
54390008	8431.06518671343	-1928	-29.64	MULTIPOLYGON(((139.1 36.0000000024,139.1 36.0083333357336,139.1125 36.0083333357336,139.1125 36.0000000024,139.1 36.0000000024)))
54390009	1008.5327467026	-646	-178.60	MULTIPOLYGON(((139.1125 36.0000000024,139.1125 36.0083333357336,139.125 36.0083333357336,139.125 36.0000000024,139.1125 36.0000000024)))
54390010	1596.63705496792	-534	-50.34	MULTIPOLYGON(((139 36.0083333357336,139 36.0166666690672,139.0125 36.0166666690672,139.0125 36.0083333357336,139 36.0083333357336)))
54390011	7119.4182886361	-1127	-18.81	MULTIPOLYGON(((139.0125 36.0083333357336,139.0125 36.0166666690672,139.025 36.0166666690672,139.025 36.0083333357336,139.0125 36.0083333357336)))
54390012	8978.38909175464	-2934	-48.55	MULTIPOLYGON(((139.025 36.0083333357336,139.025 36.0166666690672,139.0375 36.0166666690672,139.0375 36.0083333357336,139.025 36.0083333357336)))
54390013	5918.10701457338	-2089	-54.56	MULTIPOLYGON(((139.0375 36.0083333357336,139.0375 36.0166666690672,139.05 36.0166666690672,139.05 36.0083333357336,139.0375 36.0083333357336)))
54390014	4343.55442441613	-2124	-95.74	MULTIPOLYGON(((139.05 36.0083333357336,139.05 36.0166666690672,139.0625 36.0166666690672,139.0625 36.0083333357336,139.05 36.0083333357336)))
